n_estimators,min_samples_split,n_jobs,max_depth,spa,bias,var,loss
3,2,0,3,0,0.33985185185185185,6.4938271604939174e-06,0.11550577503429355
3,1,0,3,0,0.33999999999999997,8.532235939643352e-06,0.11560853223593963
1,3,0,2,0,0.34011111111111103,2.0803840877914883e-05,0.11569637174211242
2,4,0,3,0,0.34018518518518515,1.5816186556927437e-05,0.11574177640603564
3,4,0,2,0,0.3404074074074075,1.1733882030178183e-05,0.11588893689986289
3,0,0,3,0,0.3404444444444443,9.445816186556913e-06,0.1159118655692729
4,2,0,3,0,0.34044444444444444,1.4054869684499419e-05,0.11591647462277092
3,2,0,2,0,0.34059259259259256,1.2227709190672237e-05,0.11601554183813441
4,1,0,2,0,0.34059259259259256,1.2364883401920509e-05,0.11601567901234566
4,2,0,2,0,0.3406666666666667,9.994513031550035e-06,0.11606377229080933
4,1,0,3,0,0.3407407407407408,5.006858710562455e-06,0.11610925925925929
4,3,0,3,0,0.34099999999999997,1.1434842249657084e-05,0.11629243484224965
4,0,0,2,0,0.3411481481481482,1.1075445816186591e-05,0.11639313443072706
3,4,0,3,0,0.3412962962962963,2.0960219478737972e-05,0.11650412208504803
2,3,0,3,0,0.3413333333333334,3.4211248285322992e-06,0.116511865569273
4,4,0,3,0,0.34144444444444444,9.59396433470503e-06,0.11659390260631002
3,3,0,2,0,0.3414814814814815,2.8820301783264487e-05,0.11663842249657065
4,3,0,2,0,0.3415555555555556,1.4932784636488224e-05,0.11667513031550072
3,0,0,2,0,0.3416296296296295,8.52400548696866e-06,0.1167193278463648
2,0,0,2,0,0.3417407407407407,1.5454046639231825e-05,0.11680218792866937
2,4,0,2,0,0.34177777777777774,1.908916323731145e-05,0.11683113854595334
2,2,0,3,0,0.3418148148148148,6.219478737997316e-06,0.11684358710562413
3,1,0,2,0,0.34185185185185185,6.556927297667961e-06,0.11686924554183814
4,0,0,3,0,0.34199999999999997,5.20438957475992e-06,0.11696920438957474
3,3,0,3,0,0.34218518518518526,2.0746227709190775e-05,0.11711144718792872
4,4,0,2,0,0.3422222222222222,1.4910836762688879e-05,0.11713096021947873
0,3,0,2,0,0.3422962962962963,1.3314128943758542e-05,0.11718006858710564
2,1,0,2,0,0.34244444444444444,1.5711934156378746e-05,0.11728390946502057
2,3,0,2,0,0.34251851851851856,1.6043895747599465e-05,0.11733497942386834
2,2,0,2,0,0.3425555555555555,2.062277091906714e-05,0.11736493141289434
1,1,0,3,0,0.34259259259259256,5.761316872427992e-06,0.11737544581618653
2,0,0,3,0,0.3428148148148148,8.112482853223625e-06,0.11753010973936898
1,4,0,3,0,0.3428148148148148,1.2392318244170282e-05,0.11753438957475992
1,2,0,3,0,0.34292592592592597,5.451303155006907e-06,0.11760364197530866
1,2,0,2,0,0.34292592592592597,2.187105624142661e-05,0.11762006172839508
2,1,0,3,0,0.34299999999999997,4.449931412894335e-06,0.11765344993141287
1,4,0,2,0,0.34311111111111114,2.6631001371741902e-05,0.11775186556927299
1,0,0,2,0,0.34385185185185185,1.4299039780521301e-05,0.11824839506172839
4,3,0,3,1,0.344,1.7333333333333322e-05,0.11835333333333331
1,1,0,2,0,0.344,3.2545953360768064e-05,0.11836854595336076
0,1,0,3,0,0.3443333333333334,2.113305898491068e-05,0.11858657750342938
1,3,0,3,0,0.3444074074074074,1.3681755829904096e-05,0.1186301440329218
0,4,0,3,0,0.3445555555555555,2.7936899862825745e-05,0.11874646776406032
3,3,0,3,1,0.3448148148148148,2.006858710562431e-05,0.11891732510288065
4,4,0,2,1,0.3448148148148148,3.3004115226337516e-05,0.11893026063100136
4,0,0,3,1,0.3449629629629629,2.021124828532231e-05,0.11901965706447186
3,0,0,2,1,0.3449629629629629,2.2515775034293698e-05,0.11902196159122082
