kernel,gamma,C,spa,bias,var,loss
0,3,0,0,0.34151851851851855,2.967626886145391e-05,0.11666457475994516
0,2,3,0,0.34159259259259256,2.976131687242784e-05,0.11671526063100135
1,3,0,0,0.3417407407407407,1.9185185185185393e-05,0.11680591906721532
1,2,1,0,0.3418888888888889,2.7152263374485537e-05,0.11691516460905352
1,3,1,0,0.341962962962963,8.787379972565216e-06,0.11694745541838139
1,2,2,1,0.3426296296296296,8.455418381344217e-06,0.11740351851851852
0,3,1,0,0.34270370370370373,1.653772290809351e-05,0.11746236625514406
1,2,3,0,0.3428888888888888,9.102880658436104e-06,0.11758189300411516
1,3,0,1,0.34299999999999986,5.5336076817558796e-06,0.11765453360768166
1,2,2,0,0.34303703703703703,3.1860082304526784e-05,0.11770626886145405
1,2,3,1,0.34311111111111114,2.9813443072702314e-05,0.11775504801097396
1,1,4,1,0.34318518518518515,2.2323731138545922e-05,0.11779839506172837
1,1,3,0,0.3434074074074074,2.497393689986292e-05,0.11795362139917694
1,3,1,1,0.3434814814814814,1.9950617283950487e-05,0.1179994787379972
1,2,0,0,0.3444814814814815,1.162414266117971e-05,0.11867911522633746
1,1,4,0,0.34470370370370373,5.6735253772292e-06,0.118826316872428
1,2,1,1,0.34485185185185185,7.316872427983704e-06,0.11893011659807956
0,3,3,1,0.34485185185185185,2.745404663923196e-05,0.1189502537722908
1,1,2,0,0.3448888888888889,1.4919067215363467e-05,0.11896326474622772
1,3,2,1,0.3451481481481482,7.961591220850425e-06,0.1191352057613169
0,2,2,0,0.34537037037037044,1.76131687242798e-05,0.11929830589849114
1,0,4,0,0.3454074074074075,4.6556927297667575e-06,0.11931093278463654
1,1,3,1,0.3454074074074074,6.987654320987734e-06,0.11931326474622769
0,1,4,0,0.3454074074074074,1.7646090534979385e-05,0.11932392318244169
1,1,1,0,0.34618518518518515,8.211248285322577e-06,0.11985239368998625
1,3,2,0,0.34703703703703703,1.388203017832668e-05,0.12044858710562414
1,3,3,1,0.34711111111111115,1.2930041152263255e-05,0.1204990534979424
0,3,2,0,0.3474814814814814,1.5700960219478646e-05,0.12075908093278458
0,2,4,0,0.34751851851851845,1.560493827160485e-05,0.12078472565157745
0,2,4,1,0.3476666666666667,8.938271604938262e-06,0.12088104938271606
0,3,2,1,0.3477037037037036,8.951989026063089e-06,0.12090681755829899
1,1,2,1,0.3477407407407407,7.646090534979452e-06,0.12093126886145401
1,2,0,1,0.34777777777777774,6.55692729766792e-06,0.12095593964334703
1,2,4,1,0.34792592592592597,2.4609053497942813e-06,0.12105491083676272
1,2,4,0,0.34877777777777774,4.946502057613202e-06,0.12165088477366252
1,1,0,0,0.3490740740740742,1.669410150891632e-05,0.12186940329218116
1,3,4,3,0.34937037037037044,2.0159122085047883e-05,0.12207981481481486
1,0,3,0,0.35003703703703704,2.3100137174211605e-06,0.12252823731138546
